Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
China,CHN,"Population, total",SP.POP.TOTL,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000
China,CHN,Population growth (annual %),SP.POP.GROW,0.787956592953992,0.726380637838525,0.669999567758626,0.622860936133583,0.593932815112141,0.588124989556992,0.558374367373002,0.522271866392275,0.51238693163744,0.497381400884935,0.482959688678361,0.47915045424996,0.487231117971201,0.49370963351136,0.506311591779847,0.508136747291937
China,CHN,Surface area (sq. km),AG.SRF.TOTL.K2,9562920,9562914.2,9562913.2,9562912.7,9562912.5,9562911.8,9562911.4,9562910.8,9562910.8,9562911,9562911,9562911,9562911,9562911,9562911,9562911
China,CHN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1175785685665.07,1280618929635.15,1414814392675.76,1638265137832.68,1946571171758.52,2278235734194.17,2685206446006.86,3283519148608.82,4070859882135.68,4856999085520.07,5752320217228.01,6726270226612.8,7934720920857.84,9110333406906.05,10094262790465,10723960194025.7
China,CHN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,930,1010,1100,1270,1500,1750,2050,2490,3070,3650,4300,5000,5870,6710,7400,7820
China,CHN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3636340902851.66,4018776496643.11,4470250130306.83,5036664789350.19,5716939040653.14,6541410208641.2,7637790034719.11,8991462191769.62,10090052244491.1,11017654439326.4,12305377519629.9,13680535559114.3,15119207251010.3,16449177691618.4,18029825540542.3,19417976755512.6
China,CHN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2880,3160,3490,3910,4410,5020,5830,6820,7620,8280,9200,10180,11190,12120,13220,14160
China,CHN,Income share held by lowest 20%,SI.DST.FRST.20,..,..,5.47,..,..,5.02,..,..,4.78,..,4.67,..,..,..,..,..
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.7304634146342,72.1757804878049,72.6148780487805,73.0331219512195,73.4199512195122,73.7669512195122,74.0717073170732,74.3404390243903,74.5832682926829,74.8032682926829,75.0074146341463,75.2021707317073,75.3929268292683,75.5851463414634,75.7822682926829,..
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.447,1.455,1.469,1.486,1.502,1.513,1.521,1.526,1.531,1.535,1.539,1.544,1.549,1.555,1.562,..
China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,8.7724,8.4602,8.148,8.0894,8.0308,7.9722,7.9136,7.855,7.7882,7.7214,7.6546,7.5878,7.521,7.4344,7.3478,..
China,CHN,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,83.8,86.9,..,..,..,..,84.6,..,89.3,89,89.1,88.6,87.9,..,..,..
China,CHN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9,..,..
China,CHN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,36.9,34.3,31.6,28.9,26.3,24,21.9,20.1,18.5,17,15.7,14.5,13.4,12.3,11.4,10.7
China,CHN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,7.40000009536743,..,6.80000019073486,..,..,4.5,..,..,5.09999990463257,4.59999990463257,3.40000009536743,..,..,..,..,..
China,CHN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,84,85,85,85,86,86,93,94,97,99,99,99,99,99,99,..
China,CHN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,61.02744,60.90147,60.79652,62.26667,..,..,68.44517,72.58004,76.69761,80.60785,84.92116,89.07794,92.14325,96.24175,..,..
China,CHN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,0.97382,..,0.97341,..,..,0.99227,0.99443,0.99866,1.00424,0.98941,0.99293,0.99803,1.0074,..,..
China,CHN,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,Forest area (sq. km),AG.LND.FRST.K2,1770005,1802091.8,1834178.6,1866265.4,1898352.2,1930439,1945571.8,1960704.6,1975837.4,1990970.2,2006103,2021525,2036947,2052369,2067791,2083213
China,CHN,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,..,..,..,..,..,..,8.22783140862287,..,..,..,..,..,..,14.8531323187033,..
China,CHN,Improved water source (% of population with access),SH.H2O.SAFE.ZS,80.3,81.6,82.8,84,85.2,86.3,87.4,88.5,89.5,90.5,91.4,92.3,93.2,94,94.8,95.5
China,CHN,Improved sanitation facilities (% of population with access),SH.STA.ACSN,58.8,60,61.2,62.4,63.7,64.9,66.1,67.2,68.4,69.6,70.8,71.9,73.1,74.2,75.4,76.5
China,CHN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,919.321019764067,932.558502181861,978.618983130272,1107.31283685191,1264.54714812029,1361.69231736876,1478.15548275389,1550.53027085064,1576.18110677875,1692.67989198203,1845.73728288374,1994.39959230134,2079.11971466541,2226.26987063313,..,..
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.69686243322549,2.74212081298895,2.88522504139331,3.51224542766222,4.08013890554173,4.4411506949345,4.89272709798477,5.15356401658718,5.31115185538876,5.77814318390097,6.1724888760975,6.71030199087886,..,..,..,..
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,993.430457492011,1077.13802728309,1195.53811308966,1380.29105867743,1586.8665007812,1783.86770165373,2041.96503485835,2330.25946877004,2457.54177502821,2632.6630410288,2943.58995443689,3298.00391331196,3474.98361954401,3762.07694234481,..,..
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1205260678391.96,1332234719889.82,1461906487857.92,1649928718134.59,1941745602165.09,2268598904116.28,2729784031906.09,3523094314820.9,4558431073438.2,5059419738267.41,6039658508485.59,7492432097810.11,8461623162714.07,9490602600148.49,10351111762216.4,10866443998394.2
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.42928216038324,8.29837441055641,9.09090909057258,10.0199733687534,10.0756429654874,11.352391423495,12.6882251044697,14.1949616723985,9.6233774862006,9.23355109472858,10.6317082336546,9.4845062015219,7.75029759317401,7.68380996955,7.26851324138448,6.90000000000018
China,CHN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.03131896699884,2.04920298685009,0.587737053953006,2.58268280841574,6.91174629458737,3.87600485810194,3.90195625304506,7.83194697303264,7.80764153857123,-0.106916471973221,6.93755554690647,8.1392127447138,2.39215148347311,2.23496547650733,0.816670575154248,-0.453112408983785
China,CHN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,14.7491939468591,14.057444246144,13.3787871274855,12.4251087031339,13.0055551960496,11.728882524511,10.7109088352938,10.3660406672054,10.3383817671697,9.88168823698923,9.624434156756,9.53337319919401,9.52827088395419,9.40815398232096,9.17363803883001,8.99398529173153
China,CHN,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,45.4276215894957,44.6738199915843,44.3169534387861,45.4882158333858,45.7518430209116,46.868891066931,47.3973681478071,46.6926647847133,46.7552028923602,45.6703600274514,46.173517924789,46.143246506315,44.9709809362803,43.6737786717255,42.7363014463363,40.5312012067838
